Date,Name,Year,Letterboxd URI,Rating
2023-04-05,Joji,2021,https://boxd.it/tMgS,3.5
2023-04-05,Wild Dog,2021,https://boxd.it/uc5G,2
2023-04-05,Rang De,2021,https://boxd.it/tUSA,2
2023-04-05,The Falcon and the Winter Soldier,2021,https://boxd.it/sbH6,3
2023-04-05,Teddy,2021,https://boxd.it/lBvm,2
2023-04-05,Jathi Ratnalu,2021,https://boxd.it/tXxq,2.5
2023-04-05,The Priest,2021,https://boxd.it/oGL6,2
2023-04-05,Gaali Sampath,2021,https://boxd.it/tYUg,2
2023-04-05,A1 Express,2021,https://boxd.it/u73q,3
2023-04-05,Play Back,2021,https://boxd.it/ueZ2,3
2023-04-05,Ninnila Ninnila,2021,https://boxd.it/smfM,4
2023-04-05,Check,2021,https://boxd.it/tGRo,3
2023-04-05,Drishyam 2,2021,https://boxd.it/qsak,4
2023-04-05,Naandhi,2021,https://boxd.it/u1FS,3
2023-04-05,Kapatadhaari,2021,https://boxd.it/tLE0,3
2023-04-05,Operation Java,2021,https://boxd.it/tP0e,3
2023-04-05,Uppena,2021,https://boxd.it/moEM,3
2023-04-05,Zombie Reddy,2021,https://boxd.it/t4ci,3
2023-04-05,WandaVision,2021,https://boxd.it/sbGW,3
2023-04-05,Red,2021,https://boxd.it/pqdu,3
2023-04-06,Virumaandi,2004,https://boxd.it/8tk,3
2023-04-07,Vaathi,2023,https://boxd.it/yBN2,2.5
2023-04-07,Super Over,2021,https://boxd.it/tFvm,2.5
2023-04-07,Master,2021,https://boxd.it/nbII,3.5
2023-04-07,Mail,2021,https://boxd.it/txS8,3
2023-04-07,Krack,2021,https://boxd.it/tv70,2
2023-04-07,Solo Brathuke So Better,2020,https://boxd.it/qHkO,2.5
2023-04-07,IIT Krishnamurthy,2020,https://boxd.it/t7pk,2
2023-04-07,Bombhaat,2020,https://boxd.it/sWXA,1.5
2023-04-07,Andhaghaaram,2020,https://boxd.it/swim,3
2023-04-07,Middle Class Melodies,2020,https://boxd.it/sMiM,3.5
2023-04-07,Mookuthi Amman,2020,https://boxd.it/srSu,2
2023-04-07,Soorarai Pottru,2020,https://boxd.it/lWrq,4
2023-04-07,Colour Photo,2020,https://boxd.it/pN4q,3
2023-04-07,Orey Bujjiga,2020,https://boxd.it/s6HU,2.5
2023-04-07,Uma Maheswara Ugra Roopasya,2020,https://boxd.it/rg9m,2.5
2023-04-07,Power Star,2020,https://boxd.it/rheW,2
2023-04-07,Dil Bechara,2020,https://boxd.it/nYrQ,3
2023-04-07,Ponmagal Vandhal,2020,https://boxd.it/mLSW,2.5
2023-04-07,O Pitta Katha,2020,https://boxd.it/pqZy,3
2023-04-07,Kannum Kannum Kollaiyadithaal,2020,https://boxd.it/iij6,4
2023-04-07,Forensic,2020,https://boxd.it/pe54,3.5
2023-04-07,Bheeshma,2020,https://boxd.it/p8Qy,3
2023-04-07,Trance,2020,https://boxd.it/lIWO,3
2023-04-07,Oh My Kadavule,2020,https://boxd.it/npg4,3
2023-04-07,Ayyappanum Koshiyum,2020,https://boxd.it/otGi,3
2023-04-07,Jaanu,2020,https://boxd.it/oVJa,3
2023-04-07,Aswathama,2020,https://boxd.it/otwM,2.5
2023-04-07,Disco Raja,2020,https://boxd.it/jtSy,2.5
2023-04-07,The Heist of the Century,2020,https://boxd.it/mvuY,2
2023-04-07,Ala Vaikunthapurramuloo,2020,https://boxd.it/ngUk,3.5
2023-04-07,Anjaam Pathiraa,2020,https://boxd.it/osoi,3
2023-04-07,Mathu Vadalara,2019,https://boxd.it/osXW,4
2023-04-07,Hero,2019,https://boxd.it/mPDm,3
2023-04-07,Amma Rajyam Lo Kadapa Biddalu,2019,https://boxd.it/op4k,2.5
2023-04-07,90ML,2019,https://boxd.it/ojMK,2
2023-04-07,Raja Vaaru Rani Gaaru,2019,https://boxd.it/mQ9s,3
2023-04-07,George Reddy,2019,https://boxd.it/oa0W,3
2023-04-07,Helen,2019,https://boxd.it/nKg0,3.5
2023-04-07,Tenali Ramakrishna BA.BL,2019,https://boxd.it/n2oa,2
2023-04-07,Android Kunjappan Version 5.25,2019,https://boxd.it/o2mU,3
2023-04-07,Bala,2019,https://boxd.it/liem,3
2023-04-07,Meeku Maathrame Cheptha,2019,https://boxd.it/nKzc,2
2023-04-07,Kaithi,2019,https://boxd.it/lBLY,4
2023-04-07,Bigil,2019,https://boxd.it/kDlQ,2
2023-04-07,Evvarikee Cheppoddu,2019,https://boxd.it/nFjS,3
2023-04-07,War,2019,https://boxd.it/lwH8,2
2023-04-07,Sye Raa Narasimha Reddy,2019,https://boxd.it/hU9w,2
2023-04-07,Kaappaan,2019,https://boxd.it/jqES,2.5
2023-04-07,Gaddalakonda Ganesh,2019,https://boxd.it/mA5E,2.5
2023-04-07,Nani's Gang Leader,2019,https://boxd.it/mDD0,3.5
2023-04-07,Knives Out,2019,https://boxd.it/jWEA,4
2023-04-07,Chhichhore,2019,https://boxd.it/lZOW,4
2023-04-07,Ford v Ferrari,2019,https://boxd.it/ce74,4
2023-04-07,Saaho,2019,https://boxd.it/gdaa,3
2023-04-07,Evaru,2019,https://boxd.it/mq76,4
2023-04-07,Ranarangam,2019,https://boxd.it/mBUy,3
2023-04-07,Comali,2019,https://boxd.it/lLgQ,2
2023-04-07,Dear Comrade,2019,https://boxd.it/kEOE,3
2023-04-07,Sammohanam,2018,https://boxd.it/jh4w,3
2023-04-07,C/o Kancharapalem,2018,https://boxd.it/jSlk,3
2023-04-07,Awe!,2018,https://boxd.it/i4l8,3
2023-04-07,Naa Peru Surya - Naa Illu India,2018,https://boxd.it/i442,2.5
2023-04-07,U Turn,2018,https://boxd.it/jvko,2
2023-04-07,Devadas,2018,https://boxd.it/k7Kk,3
2023-04-07,Bhaagamathie,2018,https://boxd.it/hvPs,2.5
2023-04-07,Hello Guru Prema Kosame,2018,https://boxd.it/iKSS,2
2023-04-08,Ravanasura,2023,https://boxd.it/xHL0,2.5
2023-04-09,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4
2023-04-09,Romancham,2023,https://boxd.it/ARRe,3
2023-04-10,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw,3
2023-04-10,The Batman,2022,https://boxd.it/eDGs,3
2023-04-11,The Big Short,2015,https://boxd.it/ajZw,3
2023-04-11,The Nice Guys,2016,https://boxd.it/94Hg,4
2023-04-12,The Notebook,2004,https://boxd.it/1UNE,3
2023-04-12,Chor Nikal Ke Bhaga,2023,https://boxd.it/CuQm,2.5
2023-04-12,Andhadhun,2018,https://boxd.it/jtfc,4
2023-04-12,Ludo,2020,https://boxd.it/ou2o,3
2023-04-12,Super 30,2019,https://boxd.it/jrkE,3
2023-04-12,Kaabil,2017,https://boxd.it/eco2,2
2023-04-12,Train to Busan,2016,https://boxd.it/dSQU,4
2023-04-12,John Wick,2014,https://boxd.it/7dEc,3
2023-04-12,Fight Club,1999,https://boxd.it/2a9q,5
2023-04-12,Get Out,2017,https://boxd.it/eOCm,4
2023-04-12,The Age of Adaline,2015,https://boxd.it/9ghu,3
2023-04-14,Predestination,2014,https://boxd.it/6bJM,5
2023-04-14,Source Code,2011,https://boxd.it/fdo,3
2023-04-14,When We First Met,2018,https://boxd.it/fn3G,3
2023-04-14,(500) Days of Summer,2009,https://boxd.it/1EmM,4
2023-04-14,Guns Akimbo,2019,https://boxd.it/gkFu,3
2023-04-14,Nobody,2021,https://boxd.it/mLqS,3
2023-04-15,GoodFellas,1990,https://boxd.it/29FA,4
2023-04-19,Passengers,2016,https://boxd.it/8lFu,3
2023-04-21,The BFG,2016,https://boxd.it/81cs,3
2023-04-23,The Banshees of Inisherin,2022,https://boxd.it/p7XS,4
2023-04-27,Pencil,2016,https://boxd.it/7Qes,3
2023-05-02,Das Ka Dhamki,2023,https://boxd.it/Dvha,2
2023-05-04,Happy Birthday,2022,https://boxd.it/yGrA,2.5
2023-05-05,Chi La Sow,2018,https://boxd.it/jGLA,3.5
2023-05-06,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,3.5
2023-05-06,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,3.5
2023-05-09,Dunkirk,2017,https://boxd.it/d0Y6,4
2023-05-11,Magnolia,1999,https://boxd.it/2aze,4
2023-05-11,Writer Padmabhushan,2023,https://boxd.it/EyIK,3
2023-05-12,The Darjeeling Limited,2007,https://boxd.it/24as,4
2023-05-13,Driving Licence,2019,https://boxd.it/oquo,4
2023-05-14,Shaun of the Dead,2004,https://boxd.it/29J8,4
2023-05-14,Bad Genius,2017,https://boxd.it/ggpM,3
2023-05-16,The Tashkent Files,2019,https://boxd.it/lV6m,3.5
2023-05-16,Zombieland: Double Tap,2019,https://boxd.it/bgb6,3
2023-05-16,Air,2023,https://boxd.it/Arlc,4
2023-05-18,Yeto Vellipoyindhi Manasu,2012,https://boxd.it/4IRA,4
2023-05-19,Shazam!,2019,https://boxd.it/8WBu,4
2023-05-21,Shazam! Fury of the Gods,2023,https://boxd.it/lV0S,2.5
2023-05-21,Rang De Basanti,2006,https://boxd.it/20KG,3
2023-05-23,The Shining,1980,https://boxd.it/29Nu,5
2023-05-28,Kaun?,1999,https://boxd.it/4y6Y,4
2023-05-28,Bruce Almighty,2003,https://boxd.it/2aCC,3
2023-06-05,Black Swan,2010,https://boxd.it/Sw0,4
2023-06-10,2018,2023,https://boxd.it/wKhA,4
