Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-06-15,Save the Tigers,2023,https://boxd.it/4njQET,3,,"Not too good comedy and not too bad, easy timepass for a couple of hours..",,2023-06-14
2023-06-16,John Wick: Chapter 4,2023,https://boxd.it/4nHZKf,3,,Just action🤯🤯,,2023-06-16
2023-06-26,October,2018,https://boxd.it/4qIQNj,4,,<b>Watta movie😭😭</b>,,2023-06-26
2023-06-29,Whiplash,2014,https://boxd.it/4riCP3,5,,<blockquote><i>I ask why you stop playing and your version of an answer was to turn into a wind-up monkey.</i></blockquote>,,2023-06-28
2023-06-30,Samajavaragamana,2023,https://boxd.it/4rOmxr,3.5,,Hilarious fun ride🤣🤣🤣,,2023-06-30
2023-07-01,The Grand Budapest Hotel,2014,https://boxd.it/4s4gYN,4,,<blockquote><i>Did He Just Throw the Cat Out Of The Window?</i></blockquote>,,2023-07-01
2023-07-02,Lady Bird,2017,https://boxd.it/4smbTJ,3.5,,"<b>Some people aren’t built happy, you know.</b>",,2023-07-02
2023-07-03,Dune,2021,https://boxd.it/4sKTHb,4,,"<blockquote>""Dreams Make Good Stories, But Everything Important Happens When We’re Awake.""– Duncan Idaho</blockquote>",,2023-07-03
2023-07-04,Cha Cha Real Smooth,2022,https://boxd.it/4sRtz5,5,,"<blockquote>The things that I'm scared of doing are probably the things that will help me the most, but I just can't do them.</blockquote>",,2023-07-04
2023-07-04,Good Night,2023,https://boxd.it/4t3aGF,3,,Feel good movie with dark comedy..,,2023-07-04
2023-07-06,Arrival,2016,https://boxd.it/4trO5n,,,God why this movies bgm is so creepy😱,,2023-07-05
2023-07-08,Ready Player One,2018,https://boxd.it/4u11El,4,,The whole shining sequence is lit🔥🔥,,2023-07-08
2023-07-11,Gifted,2017,https://boxd.it/4v8Aev,4,,<blockquote><b><i>This is gonna be fun. You're gonna meet kids today you can borrow money from the rest of your life.</i></b></blockquote>,,2023-07-11
2023-07-11,Pokiri,2006,https://boxd.it/4v8CId,4,Yes,Great movie with great twist in the end...Best commercial movie ever made in tollywood.Missing those vintage roles from Mahesh Babu.,,2023-07-07
2023-07-11,Son of Satyamurthy,2015,https://boxd.it/4v8SID,3,Yes,"Characterization of hero is simply superb.And has a ample amount of comedy,drama,action which makes it a wholesome family entertainer..",,2023-07-09
2023-07-11,Adipurush,2023,https://boxd.it/4v9bhB,2,,Poor VFX made me irritate through out the second half...,,2023-07-06
2023-07-12,Frances Ha,2012,https://boxd.it/4vgGDH,3.5,,"<blockquote><b><i>Frances: It’s that thing when you’re with someone, and you love them and they know it, and they love you and you know it… but it’s a party… and you’re both talking to other people, and you’re laughing and shining… and you look across the room and catch each other’s eyes… but – but not because you’re possessive… but because… that is your person in this life. And it’s funny and sad, but only because this life will end, and it’s this secret world that exists right there in public, unnoticed, that no one else knows about. It’s sort of like how they say that other dimensions exist all around us, but we don’t have the ability to perceive them. That’s – That’s what I want out of a relationship.</i></b></blockquote>",,2023-07-12
2023-07-13,Dear Zindagi,2016,https://boxd.it/4vzuDD,3.5,,I was wondering why I am this late to watch this movie 😅,,2023-07-13
2023-07-13,Other Side of the Box,2018,https://boxd.it/4vICDp,4,,Chills...literal chills.....,,2023-07-13
2023-07-15,Anbe Sivam,2003,https://boxd.it/4w55EZ,4,,"Amusing, Heartwarming and emotional..",,2023-07-14
2023-07-15,KM 9,2022,https://boxd.it/4w6Mhr,3,,So much has happened in 10 minutes 🤯,,2023-07-10
2023-07-16,Master,1997,https://boxd.it/4wmY7P,3,,Great music... Great performance from chiranjeevi.... overall a decent watch.,,2023-07-15
2023-07-16,12 Angry Men,1957,https://boxd.it/4wr433,5,,That's the best 96 minutes I have ever spent on a movie.....,,2023-07-16
2023-07-17,Wake Up Sid,2009,https://boxd.it/4wYSnD,3.5,,Refreshing.,,2023-07-17
2023-07-17,Pulp Fiction,1994,https://boxd.it/4x0Ri7,4,,Bruce Willis part was awesome..,,2023-07-17
2023-07-18,Ready or Not,2019,https://boxd.it/4x6qzR,3.5,,"<i><b>""Liked It""
</b></i><i>
The movie starts off quite interestingly, but then slows down before picking up its pace when the game starts, making it very engaging from then onwards. Especially the increased bloodshed adds to the intensity. While it's not a perfect movie, it's not a bad one either, earning a rating of 3.5 out of 5.</i>",,2023-07-18
2023-07-19,Back to the Future,1985,https://boxd.it/4xpgu1,5,,"<b>Absolutely amazing
</b>
<b><i>This is the best time travel movie I have ever seen (5/5)</i></b>

<i>The movie starts of well and when he travels back in time, from on then things becomes very interesting and the director built the suspense real good in every scene and at the end too... Overall it's a perfect time travel thriller....


</i>",,2023-07-19
